"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Campfire_C"",EngramLevelRequirement=2,EngramPointsCost=3,EngramHidden=True,RemoveEngramPreReq=True)",THE ISLAND / BASE,https://ark-engram-editor.pages.dev/EngramsEditor,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Arthro_C"",EngramLevelRequirement=54,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ModernBed_C"",EngramLevelRequirement=54,EngramPointsCost=28,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Canteen_C"",EngramLevelRequirement=54,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalTrapdoorGiant_C"",EngramLevelRequirement=54,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AdvancedBullet_C"",EngramLevelRequirement=55,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MachinedPistol_C"",EngramLevelRequirement=55,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MachinedShotgun_C"",EngramLevelRequirement=55,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Tapejara_C"",EngramLevelRequirement=55,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Xiphactinus_ASA_C"",EngramLevelRequirement=55,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalBoots_C"",EngramLevelRequirement=56,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalShirt_C"",EngramLevelRequirement=56,EngramPointsCost=18,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalGloves_C"",EngramLevelRequirement=56,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalHelmet_C"",EngramLevelRequirement=56,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalPants_C"",EngramLevelRequirement=56,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Megalosaurus_C"",EngramLevelRequirement=57,EngramPointsCost=50,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalGate_Large_C"",EngramLevelRequirement=57,EngramPointsCost=15,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MetalGateway_Large_C"",EngramLevelRequirement=57,EngramPointsCost=28,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Motorboat_C"",EngramLevelRequirement=57,EngramPointsCost=45,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AdvancedRifleBullet_C"",EngramLevelRequirement=58,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MachinedRifle_C"",EngramLevelRequirement=58,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Ceiling_Door_XL_Metal_C"",EngramLevelRequirement=58,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Daeodon_C"",EngramLevelRequirement=59,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Laser_C"",EngramLevelRequirement=59,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TreePlatformMetal_C"",EngramLevelRequirement=59,EngramPointsCost=55,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Basilosaurus_C"",EngramLevelRequirement=60,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CeratosaurusSaddle_ASA_C"",EngramLevelRequirement=60,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HemogoblinCocktail_ASA_C"",EngramLevelRequirement=60,EngramPointsCost=25,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_IceBox_C"",EngramLevelRequirement=60,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AirConditioner_C"",EngramLevelRequirement=61,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Beaver_C"",EngramLevelRequirement=61,EngramPointsCost=50,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Argentavis_C"",EngramLevelRequirement=62,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TranqDart_C"",EngramLevelRequirement=62,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Sauro_C"",EngramLevelRequirement=63,EngramPointsCost=21,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MinersHelmet_C"",EngramLevelRequirement=63,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Grinder_C"",EngramLevelRequirement=64,EngramPointsCost=45,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Plesia_C"",EngramLevelRequirement=64,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_C4Ammo_C"",EngramLevelRequirement=65,EngramPointsCost=12,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_WeaponC4_C"",EngramLevelRequirement=65,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Allo_C"",EngramLevelRequirement=67,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Turret_C"",EngramLevelRequirement=68,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Gigantoraptor_C"",EngramLevelRequirement=69,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Therizino_C"",EngramLevelRequirement=69,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ElevatorTrack_C"",EngramLevelRequirement=70,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Fasola_C"",EngramLevelRequirement=70,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ElevatorPlatformSmall_C"",EngramLevelRequirement=70,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Spino_C"",EngramLevelRequirement=71,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ElevatorPlatformMedium_C"",EngramLevelRequirement=72,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_TranqSpearBolt_C"",EngramLevelRequirement=72,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ElevatorPlatformLarge_C"",EngramLevelRequirement=73,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Megalania_C"",EngramLevelRequirement=73,EngramPointsCost=65,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Deinosuchus_ASA_C"",EngramLevelRequirement=74,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Rex_C"",EngramLevelRequirement=74,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_StorageBox_Huge_C"",EngramLevelRequirement=75,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Quetz_C"",EngramLevelRequirement=76,EngramPointsCost=44,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HoloScope_C"",EngramLevelRequirement=77,EngramPointsCost=24,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Mosa_C"",EngramLevelRequirement=78,EngramPointsCost=60,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CompoundBow_C"",EngramLevelRequirement=79,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_CompoundArrow_C"",EngramLevelRequirement=79,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_IndustrialForge_C"",EngramLevelRequirement=80,EngramPointsCost=90,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Yuty_C"",EngramLevelRequirement=80,EngramPointsCost=50,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ScubaBoots_Flippers_C"",EngramLevelRequirement=81,EngramPointsCost=20,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ScubaPants_C"",EngramLevelRequirement=81,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ScubaHelmet_Goggles_C"",EngramLevelRequirement=81,EngramPointsCost=25,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ScubaShirt_SuitWithTank_C"",EngramLevelRequirement=81,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Sauro_Platform_C"",EngramLevelRequirement=82,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ChemBench_C"",EngramLevelRequirement=82,EngramPointsCost=65,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AdvancedSniperBullet_C"",EngramLevelRequirement=83,EngramPointsCost=16,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MachinedSniper_C"",EngramLevelRequirement=83,EngramPointsCost=36,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SubstrateAbsorbent_C"",EngramLevelRequirement=84,EngramPointsCost=60,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Plesio_Platform_C"",EngramLevelRequirement=84,EngramPointsCost=80,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SaddleDeinotherium_ASA_C"",EngramLevelRequirement=85,EngramPointsCost=50,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_GasMask_C"",EngramLevelRequirement=85,EngramPointsCost=100,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_NightVisionGoggles_C"",EngramLevelRequirement=86,EngramPointsCost=100,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RocketLauncher_C"",EngramLevelRequirement=87,EngramPointsCost=32,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RocketAmmo_C"",EngramLevelRequirement=87,EngramPointsCost=8,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_SeaMine_C"",EngramLevelRequirement=88,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_IndustrialCookingPot_C"",EngramLevelRequirement=89,EngramPointsCost=60,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AggroTranqDart_C"",EngramLevelRequirement=90,EngramPointsCost=60,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Rhynio_C"",EngramLevelRequirement=90,EngramPointsCost=65,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Tuso_C"",EngramLevelRequirement=91,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotShield_C"",EngramLevelRequirement=92,EngramPointsCost=35,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Mosa_Platform_C"",EngramLevelRequirement=93,EngramPointsCost=80,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_MinigunTurret_C"",EngramLevelRequirement=94,EngramPointsCost=80,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ElectricProd_C"",EngramLevelRequirement=95,EngramPointsCost=60,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Carcha_C"",EngramLevelRequirement=96,EngramPointsCost=75,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Gigant_C"",EngramLevelRequirement=96,EngramPointsCost=75,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RefinedTranqDart_C"",EngramLevelRequirement=96,EngramPointsCost=30,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Quetz_Platform_C"",EngramLevelRequirement=97,EngramPointsCost=80,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotBoots_C"",EngramLevelRequirement=98,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotShirt_C"",EngramLevelRequirement=98,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotGloves_C"",EngramLevelRequirement=98,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotHelmet_C"",EngramLevelRequirement=98,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RiotPants_C"",EngramLevelRequirement=98,EngramPointsCost=40,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_RocketTurret_C"",EngramLevelRequirement=99,EngramPointsCost=100,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_DreadSaddle_C"",EngramLevelRequirement=100,EngramPointsCost=100,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_HeavyTurret_C"",EngramLevelRequirement=100,EngramPointsCost=100,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_ShastaSaddle_C"",EngramLevelRequirement=100,EngramPointsCost=70,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Saddle_Titano_Platform_C"",EngramLevelRequirement=100,EngramPointsCost=120,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AB_GhillieBoots_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AB_GhillieShirt_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AB_GhillieGloves_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AB_GhilliePants_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_AB_GhillieHelmet_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_BeretHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_BoaterHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_BowlerHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_CyclistHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Boots_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Gloves_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Pants_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Shirt_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_DrfiterBoots_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_DrfiterGloves_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_DrfiterHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_DrfiterPants_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_DrfiterShirt_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_Dynamite_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Engineer_Boots_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Engineer_Gloves_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Engineer_Hat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Engineer_Pants_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Engineer_Shirt_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_Tileset_Wood_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Hat_Med_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RustlerBoots_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RustlerGloves_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RustlerHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RustlerPants_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RustlerShirt_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_RancherHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Hat_Short_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_SinisterHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Goggles_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_GogglesHat_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_RockDrakeSaddle_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_StructureTileset_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Steampunk_Dapper_Hat_Tall_C"",EngramLevelRequirement=1,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_Scaffolding_C"",EngramLevelRequirement=12,EngramPointsCost=0,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
"OverrideNamedEngramEntries=(EngramClassName=""EngramEntry_Frontier_ShootableBottle_C"",EngramLevelRequirement=14,EngramPointsCost=4,EngramHidden=False,RemoveEngramPreReq=True)",,,,,,,
